geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0048008	platelet-derived growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048008	53	5	0.32119284771390855	15.566971791518775	1.6856451159785735e-5	0.06637805546952617	4643;8826;8829;56034;84159	MYO1E;ARID5B;NRP1;IQGAP1;PDGFC
GO:0001782	B cell homeostasis	http://amigo.geneontology.org/amigo/term/GO:0001782	29	4	0.17574702988119523	22.759986343461936	2.6859676037993552e-5	0.06637805546952617	596;972;6654;55619	DOCK10;SOS1;BCL2;CD74
GO:0046651	lymphocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0046651	264	9	1.5999039961598462	5.625337533753376	3.2133438428672e-5	0.06637805546952617	596;972;975;3600;4478;5027;6654;10457;57630	GPNMB;SOS1;SH3RF1;BCL2;CD81;P2RX7;MSN;IL15;CD74
GO:0032943	mononuclear cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0032943	266	9	1.612024480979239	5.5830417628229	3.4086777963349135e-5	0.06637805546952617	596;972;975;3600;4478;5027;6654;10457;57630	GPNMB;SOS1;SH3RF1;BCL2;CD81;P2RX7;MSN;IL15;CD74
GO:0002260	lymphocyte homeostasis	http://amigo.geneontology.org/amigo/term/GO:0002260	63	5	0.3817952718108724	13.096023888103097	3.935613392003212e-5	0.06637805546952617	596;972;5027;6654;55619	DOCK10;SOS1;BCL2;P2RX7;CD74
GO:0070661	leukocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0070661	281	9	1.7029281171246848	5.285014622458688	5.221226443663518e-5	0.06937261583902764	596;972;975;3600;4478;5027;6654;10457;57630	GPNMB;SOS1;SH3RF1;BCL2;CD81;P2RX7;MSN;IL15;CD74
GO:0014911	positive regulation of smooth muscle cell migration	http://amigo.geneontology.org/amigo/term/GO:0014911	35	4	0.21210848433937357	18.85827439886846	5.758428920588088e-5	0.06937261583902764	596;8826;8829;80005	NRP1;BCL2;IQGAP1;DOCK5
GO:0090049	regulation of cell migration involved in sprouting angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0090049	38	4	0.23028921156846272	17.369463262115687	8.00563746373717e-5	0.08438942591461944	8829;9734;10000;90627	STARD13;NRP1;AKT3;HDAC9
GO:0101023	vascular endothelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0101023	18	3	0.10908436337453498	27.501650165016503	1.6499949400383684e-4	0.13313769597752537	2321;5468;10000	FLT1;AKT3;PPARG
GO:1905562	regulation of vascular endothelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:1905562	18	3	0.10908436337453498	27.501650165016503	1.6499949400383684e-4	0.13313769597752537	2321;5468;10000	FLT1;AKT3;PPARG
