geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006614	95	15	1.0203408136325454	14.7009703028521	8.43769498715119e-14	6.694195198164721e-10	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0006613	cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006613	99	15	1.0633025321012841	14.106991704757068	1.5876189252139739e-13	6.694195198164721e-10	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0045047	protein targeting to ER	http://amigo.geneontology.org/amigo/term/GO:0045047	107	15	1.1492259690387616	13.05226335299953	5.159206395433102e-13	1.450252917756245e-9	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0072599	establishment of protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0072599	111	15	1.1921876875075004	12.581911520459006	8.961720254774264e-13	1.889354672712784e-9	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	16	1.4714388575543023	10.873710394323696	1.5265566588595902e-12	2.574690460832585e-9	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311;120892	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28;LRRK2
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	http://amigo.geneontology.org/amigo/term/GO:0000184	120	15	1.2888515540621626	11.63826815642458	2.868261184119092e-12	4.031341094279384e-9	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	206	18	2.2125285011400457	8.135488420024949	8.630207659621192e-12	1.0396934456226501e-8	472;678;6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311;23034	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;ZFP36L2;SAMD4A;ATM;RPL7A;RPS16;RPS7;RPS28
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	187	16	2.0084603384135367	7.966301197980461	1.7902279658699172e-10	1.8871240545226264e-7	6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311;84938	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28;ATG4C
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	192	16	2.06216248649946	7.758845437616387	2.653182118450559e-10	2.4860316449881736e-7	4690;6130;6136;6138;6141;6155;6156;6159;6164;6165;6193;6201;6207;6217;6234;7311	RPL12;RPS13;RPL29;RPS5;RPL18;UBA52;NCK1;RPL34;RPL15;RPL35A;RPL27;RPL30;RPL7A;RPS16;RPS7;RPS28
GO:0043534	blood vessel endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0043534	112	9	1.202928117124685	7.481743814844373	3.3072424971969383e-6	0.0027889975978861777	348;2876;4208;5607;8829;9734;10000;22846;90627	NRP1;STARD13;AKT3;VASH1;APOE;GPX1;HDAC9;MAP2K5;MEF2C
