geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0032869	cellular response to insulin stimulus	http://amigo.geneontology.org/amigo/term/GO:0032869	209	6	0.4389175567022681	13.669993164730005	4.337941804433143e-6	0.036581863236784695	5290;5579;6720;9734;55022;64397	PRKCB;SREBF1;HDAC9;PIK3CA;PID1;ZNF106
GO:0008286	insulin receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0008286	137	5	0.28771150846033844	17.378519290928047	9.287897070331397e-6	0.039162417997052335	5290;5579;6720;55022;64397	PRKCB;SREBF1;PIK3CA;PID1;ZNF106
GO:0032868	response to insulin	http://amigo.geneontology.org/amigo/term/GO:0032868	264	6	0.5544221768870755	10.822077922077922	1.6473953819207132e-5	0.039859377779050076	5290;5579;6720;9734;55022;64397	PRKCB;SREBF1;HDAC9;PIK3CA;PID1;ZNF106
GO:0051894	positive regulation of focal adhesion assembly	http://amigo.geneontology.org/amigo/term/GO:0051894	25	3	0.05250210008400336	57.14057142857143	1.8906381016980944e-5	0.039859377779050076	5795;8826;8829	IQGAP1;PTPRJ;NRP1
GO:1903393	positive regulation of adherens junction organization	http://amigo.geneontology.org/amigo/term/GO:1903393	31	3	0.06510260410416417	46.081105990783406	3.663185569302563e-5	0.06178328781185702	5795;8826;8829	IQGAP1;PTPRJ;NRP1
GO:1901890	positive regulation of cell junction assembly	http://amigo.geneontology.org/amigo/term/GO:1901890	33	3	0.06930277211088444	43.28831168831169	4.4335681058438325e-5	0.062313799727635066	5795;8826;8829	IQGAP1;PTPRJ;NRP1
GO:0001954	positive regulation of cell-matrix adhesion	http://amigo.geneontology.org/amigo/term/GO:0001954	50	3	0.10500420016800673	28.570285714285713	1.554223346252881e-4	0.18723950684215065	5795;8826;8829	IQGAP1;PTPRJ;NRP1
GO:0048008	platelet-derived growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048008	53	3	0.11130445217808713	26.95309973045822	1.8496179350002695e-4	0.1949728505732159	5795;8826;8829	IQGAP1;PTPRJ;NRP1
GO:0038127	ERBB signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0038127	141	4	0.296111844473779	13.508409321175277	2.0966635069274986e-4	0.19645737059910662	5290;5795;8826;57142	IQGAP1;PIK3CA;RTN4;PTPRJ
GO:0051893	regulation of focal adhesion assembly	http://amigo.geneontology.org/amigo/term/GO:0051893	60	3	0.12600504020160808	23.808571428571426	2.6748139515553326e-4	0.20506096412241928	5795;8826;8829	IQGAP1;PTPRJ;NRP1
